"('Galaxy ID', '', '')","('Accuracy', 'th=1', 'Only spirals')","('Accuracy', 'th=1', 'All images')","('Accuracy', 'th=2', 'Only spirals')","('Accuracy', 'th=2', 'All images')","('Accuracy', 'th=3', 'Only spirals')","('Accuracy', 'th=3', 'All images')","('Accuracy', 'th=4', 'Only spirals')","('Accuracy', 'th=4', 'All images')","('Precision', 'th=1', 'Only spirals')","('Precision', 'th=1', 'All images')","('Precision', 'th=2', 'Only spirals')","('Precision', 'th=2', 'All images')","('Precision', 'th=3', 'Only spirals')","('Precision', 'th=3', 'All images')","('Precision', 'th=4', 'Only spirals')","('Precision', 'th=4', 'All images')","('Sensitivity', 'th=1', 'Only spirals')","('Sensitivity', 'th=1', 'All images')","('Sensitivity', 'th=2', 'Only spirals')","('Sensitivity', 'th=2', 'All images')","('Sensitivity', 'th=3', 'Only spirals')","('Sensitivity', 'th=3', 'All images')","('Sensitivity', 'th=4', 'Only spirals')","('Sensitivity', 'th=4', 'All images')","('Specificity', 'th=1', 'Only spirals')","('Specificity', 'th=1', 'All images')","('Specificity', 'th=2', 'Only spirals')","('Specificity', 'th=2', 'All images')","('Specificity', 'th=3', 'Only spirals')","('Specificity', 'th=3', 'All images')","('Specificity', 'th=4', 'Only spirals')","('Specificity', 'th=4', 'All images')","('Jaccard', 'th=1', 'Only spirals')","('Jaccard', 'th=1', 'All images')","('Jaccard', 'th=2', 'Only spirals')","('Jaccard', 'th=2', 'All images')","('Jaccard', 'th=3', 'Only spirals')","('Jaccard', 'th=3', 'All images')","('Jaccard', 'th=4', 'Only spirals')","('Jaccard', 'th=4', 'All images')"
b'1-431864',0.95452880859375,1.0,0.99560546875,1.0,0.99676513671875,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.95452880859375,1.0,0.99560546875,1.0,0.99676513671875,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-294782',0.81689453125,0.83447265625,0.8607177734375,0.87701416015625,0.91107177734375,0.9478759765625,0.9876708984375,0.98858642578125,0.6464453770825385,0.6956062207458855,0.48227642276422766,0.5275453277545328,0.11755952380952381,0.5347928068803753,0.06779661016949153,0.15384615384615385,0.9585140486517065,0.8687535357344899,0.6824666359871145,0.6962724344224575,0.08377518557794274,0.7253446447507953,0.026490066225165563,0.052980132450331126,0.7491201155130404,0.8180669614655717,0.8879741045668849,0.9046513264372669,0.9615957515704942,0.9614662262806813,0.9966118400788517,0.9972894720630814,0.6288506742546084,0.6294575761716081,0.3938911022576361,0.42885487528344673,0.051432291666666664,0.4447334200260078,0.019417475728155338,0.041025641025641026
b'1-542716',0.844482421875,1.0,0.9217529296875,1.0,0.9710693359375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.844482421875,1.0,0.9217529296875,1.0,0.9710693359375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-476256',0.95306396484375,1.0,1.0,1.0,0.99407958984375,1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,0.95306396484375,1.0,1.0,1.0,0.99407958984375,1.0,1.0,1.0,0.0,,,,0.0,,,
b'1-161351',0.9716796875,1.0,0.990234375,1.0,0.995849609375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.9716796875,1.0,0.990234375,1.0,0.995849609375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-407680',0.938720703125,0.83502197265625,0.92901611328125,0.8944091796875,0.92279052734375,0.93780517578125,0.98712158203125,0.98931884765625,0.9245221898283122,0.9564356435643564,0.7531791907514451,0.9504373177842566,0.09539473684210527,,,0.7432432432432432,0.7873103448275862,0.26648275862068965,0.6390387444825895,0.15988229524276606,0.02845927379784102,0.0,0.0,0.26066350710900477,0.9817383807508425,0.9965514538756955,0.970233530846985,0.9988149180899268,0.9821021802798569,1.0,1.0,0.9988252024979904,0.7397615344738206,0.2632869991823385,0.5283860502838605,0.15856031128404668,0.02241112828438949,0.0,0.0,0.2391304347826087
b'1-613097',0.97503662109375,0.95086669921875,0.98675537109375,0.9578857421875,0.95184326171875,0.956787109375,0.98468017578125,0.97149658203125,0.8015728977616455,0.9601837672281777,0.9132231404958677,0.9554317548746518,0.24489795918367346,1.0,0.8686131386861314,1.0,0.9423897581792319,0.44594594594594594,0.8692232055063913,0.33726647000983284,0.03247631935047361,0.04194857916102842,0.644404332129964,0.15703971119133575,0.9781012151155027,0.9982641207103752,0.9945337411335979,0.998958807834971,0.995270054330457,1.0,0.9965887555274795,1.0,0.7641291810841984,0.4378491620111732,0.8029064486830154,0.33204259438528555,0.02952029520295203,0.04194857916102842,0.587171052631579,0.15703971119133575
b'1-274208',0.8153076171875,1.0,0.9866943359375,1.0,0.98681640625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.8153076171875,1.0,0.9866943359375,1.0,0.98681640625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-145268',0.8734130859375,0.89764404296875,0.93414306640625,0.9346923828125,0.99249267578125,0.94952392578125,0.96942138671875,0.98248291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.8734130859375,0.89764404296875,0.93414306640625,0.9346923828125,0.99249267578125,0.94952392578125,0.96942138671875,0.98248291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'1-379867',0.92706298828125,1.0,0.96636962890625,1.0,0.98236083984375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.92706298828125,1.0,0.96636962890625,1.0,0.98236083984375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-82063',0.59478759765625,0.92852783203125,0.92169189453125,1.0,0.98114013671875,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.59478759765625,0.92852783203125,0.92169189453125,1.0,0.98114013671875,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,
b'1-506157',0.84503173828125,1.0,0.972412109375,1.0,0.986328125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.84503173828125,1.0,0.972412109375,1.0,0.986328125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-605814',0.922607421875,1.0,0.96685791015625,1.0,0.9913330078125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.922607421875,1.0,0.96685791015625,1.0,0.9913330078125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-479776',0.89300537109375,1.0,0.96209716796875,1.0,0.99322509765625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.89300537109375,1.0,0.96209716796875,1.0,0.99322509765625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-224071',0.96185302734375,1.0,0.97589111328125,1.0,0.99310302734375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.96185302734375,1.0,0.97589111328125,1.0,0.99310302734375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-36573',0.95635986328125,1.0,0.97509765625,1.0,0.99102783203125,1.0,0.9990234375,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.95635986328125,1.0,0.97509765625,1.0,0.99102783203125,1.0,0.9990234375,1.0,0.0,,0.0,,0.0,,0.0,
b'1-584931',0.89471435546875,0.8919677734375,0.919189453125,0.92694091796875,0.9073486328125,0.93438720703125,0.96893310546875,0.95697021484375,0.7284067284067284,0.8888524590163934,0.7599137931034483,0.8983861326957562,0.6208791208791209,0.9092436974789916,0.7847682119205298,0.3064516129032258,0.9304683727667793,0.6545147271849349,0.6968379446640316,0.5940711462450593,0.07234314980793854,0.34635083226632524,0.34801762114537443,0.027900146842878122,0.8826172194085934,0.9723084463322986,0.9597950050526923,0.9877291756893316,0.9953447577924707,0.9963567669680206,0.9958606635674712,0.9972616697446348,0.6908048037282667,0.6049988841776389,0.5711046323291221,0.5566666666666666,0.06928264868179031,0.3347772277227723,0.31769436997319034,0.026243093922651933
b'1-121717',0.88836669921875,0.9962158203125,0.947265625,1.0,0.9844970703125,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.88836669921875,0.9962158203125,0.947265625,1.0,0.9844970703125,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,
b'1-333696',0.9691162109375,0.96221923828125,0.97637939453125,0.96575927734375,0.973876953125,0.98095703125,0.98468017578125,0.98443603515625,0.7026759167492567,0.9539877300613497,0.9855072463768116,1.0,0.2916666666666667,0.8732394366197183,1.0,,0.774863387978142,0.33989071038251367,0.4152671755725191,0.1435114503816794,0.01674641148325359,0.2966507177033493,0.01568627450980392,0.0,0.9806063740383993,0.9990303187019199,0.9997456926695912,1.0,0.9989352373794312,0.9988726042841037,1.0,1.0,0.5835390946502058,0.33440860215053764,0.41274658573596357,0.1435114503816794,0.016091954022988506,0.28440366972477066,0.01568627450980392,0.0
b'1-343179',0.83477783203125,0.82275390625,0.8782958984375,0.85345458984375,0.74176025390625,0.83587646484375,0.83209228515625,0.81671142578125,0.9470556455969746,0.9588144726712856,0.9637074260189838,0.9827757535607817,0.39416058394160586,0.9778900821225521,0.9181636726546906,1.0,0.6854796663190824,0.6493743482794577,0.6493604213694507,0.5581264108352144,0.01285102332222751,0.3683960019038553,0.14511041009463724,0.0526813880126183,0.9662534435261708,0.9754361799816346,0.9882544271774485,0.9953017708709794,0.9931866688556887,0.9971269085536036,0.9968972302103829,1.0,0.6601807682651268,0.631752472736495,0.6338597135512303,0.5527198211624441,0.012602100350058343,0.3653528439933916,0.14325755216443475,0.0526813880126183
b'1-513743',0.93963623046875,1.0,0.9970703125,1.0,0.993408203125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.93963623046875,1.0,0.9970703125,1.0,0.993408203125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-99719',0.9298095703125,1.0,0.98974609375,1.0,0.9874267578125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.9298095703125,1.0,0.98974609375,1.0,0.9874267578125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-77738',0.97235107421875,1.0,0.9993896484375,1.0,0.99493408203125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.97235107421875,1.0,0.9993896484375,1.0,0.99493408203125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-124311',0.93475341796875,1.0,0.972900390625,1.0,0.9942626953125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.93475341796875,1.0,0.972900390625,1.0,0.9942626953125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-376132',0.89453125,1.0,0.9345703125,1.0,0.99005126953125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.89453125,1.0,0.9345703125,1.0,0.99005126953125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-448023',0.89019775390625,1.0,0.9976806640625,1.0,0.98626708984375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.89019775390625,1.0,0.9976806640625,1.0,0.98626708984375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-469437',0.89306640625,1.0,0.952880859375,1.0,0.9830322265625,1.0,0.99176025390625,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.89306640625,1.0,0.952880859375,1.0,0.9830322265625,1.0,0.99176025390625,1.0,0.0,,0.0,,0.0,,0.0,
b'1-448843',0.879638671875,1.0,0.92962646484375,1.0,0.9979248046875,1.0,0.99639892578125,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.879638671875,1.0,0.92962646484375,1.0,0.9979248046875,1.0,0.99639892578125,1.0,0.0,,0.0,,0.0,,0.0,
