,0
761,1-439276
762,1-413576
763,1-415494
764,1-428444
765,1-96555
766,1-229017
767,1-527133
768,1-417679
769,1-321895
770,1-332239
771,1-534990
772,1-321374
773,1-38506
774,1-339911
775,1-280132
776,1-558167
777,1-414137
778,1-463813
779,1-306374
780,1-605740
781,1-385123
782,1-551031
783,1-423642
784,1-491361
785,1-37568
786,1-461137
787,1-209952
788,1-224879
789,1-311018
790,1-277300
791,1-249892
792,1-81528
793,1-122206
794,1-363779
795,1-443559
796,1-520227
797,1-253719
798,1-353909
799,1-415777
800,1-411303
801,1-54313
802,1-621095
803,1-274137
804,1-138324
805,1-301956
806,1-284840
807,1-483870
808,1-464922
809,1-283921
810,1-416388
811,1-532006
812,1-346476
813,1-119362
814,1-4744
815,1-182452
816,1-240324
817,1-247129
818,1-17660
819,1-420588
820,1-624081
821,1-414862
822,1-205522
823,1-296778
824,1-174475
825,1-300755
826,1-637279
827,1-83798
828,1-323237
829,1-322161
830,1-152763
831,1-576146
832,1-564689
833,1-432994
834,1-320528
835,1-576412
836,1-126951
837,1-248795
838,1-154199
839,1-83132
840,1-447840
841,1-219083
842,1-113108
843,1-574818
844,1-74637
845,1-565242
846,1-530908
847,1-633890
848,1-437024
849,1-561324
850,1-82687
851,1-73909
852,1-638754
853,1-381092
854,1-225875
855,1-485678
856,1-179198
857,1-498959
858,1-176546
859,1-429686
860,1-87883
861,1-81177
862,1-628927
863,1-275858
864,1-242390
865,1-381454
866,1-138556
867,1-530309
868,1-504425
869,1-317981
870,1-341113
871,1-60706
872,1-323564
873,1-307124
874,1-606061
875,1-389025
876,1-623461
877,1-517891
878,1-87819
879,1-138673
880,1-48053
881,1-222709
882,1-140563
883,1-567155
884,1-565869
885,1-222700
886,1-48531
887,1-529123
888,1-531703
889,1-53681
890,1-244785
891,1-520046
892,1-380300
893,1-453787
894,1-250373
895,1-13673
896,1-632290
897,1-403012
898,1-36571
899,1-420282
900,1-44216
901,1-285158
902,1-560607
903,1-177104
904,1-341744
905,1-394876
906,1-72897
