,0
15955,1-492607
15956,1-180522
15957,1-378770
15958,1-367478
15959,1-446427
15960,1-355235
15961,1-455687
15962,1-218879
15963,1-626306
15964,1-585501
15965,1-470944
15966,1-26421
15967,1-225570
15968,1-319706
15969,1-140827
15970,1-631202
15971,1-276197
15972,1-409576
15973,1-605784
15974,1-242400
15975,1-78731
15976,1-246851
15977,1-63718
15978,1-557075
15979,1-225157
15980,1-45489
15981,1-625665
15982,1-626593
15983,1-17444
15984,1-16107
15985,1-365801
15986,1-165955
15987,1-628997
15988,1-75863
15989,1-424507
15990,1-415666
15991,1-476951
15992,1-606699
15993,1-181918
15994,1-243729
15995,1-564521
15996,1-317211
15997,1-183700
15998,1-544858
15999,1-100963
16000,1-247713
16001,1-560747
16002,1-389603
16003,1-126881
16004,1-155558
16005,1-259952
16006,1-96075
16007,1-503110
16008,1-234004
16009,1-576591
16010,1-182807
16011,1-444081
16012,1-605309
16013,1-211017
16014,1-456513
16015,1-631833
16016,1-270937
16017,1-524459
16018,1-62899
16019,1-329306
16020,1-456533
16021,1-627108
16022,1-153613
16023,1-414867
16024,1-444993
16025,1-612067
16026,1-243840
16027,1-505660
16028,1-523256
16029,1-157603
16030,1-135035
16031,1-549638
16032,1-106101
16033,1-333980
16034,1-494148
16035,1-246760
16036,1-337116
16037,1-117799
16038,1-165282
16039,1-513673
16040,1-352962
16041,1-590587
16042,1-632129
16043,1-91268
16044,1-197534
16045,1-397872
16046,1-545993
16047,1-135573
16048,1-482918
16049,1-397462
16050,1-560065
16051,1-403376
16052,1-198718
16053,1-530695
16054,1-261390
16055,1-356119
16056,1-212693
16057,1-576095
16058,1-467397
16059,1-12446
16060,1-53217
16061,1-231694
16062,1-246216
16063,1-216854
16064,1-457149
16065,1-363345
16066,1-482025
16067,1-45539
16068,1-6871
16069,1-361105
16070,1-336165
16071,1-177308
16072,1-605306
16073,1-443561
16074,1-493081
16075,1-605875
16076,1-276034
16077,1-175503
16078,1-588167
16079,1-58650
16080,1-121330
16081,1-526650
16082,1-36649
16083,1-56784
16084,1-133983
16085,1-231889
16086,1-306904
16087,1-482916
16088,1-85959
16089,1-496861
16090,1-325760
16091,1-23679
16092,1-576809
16093,1-396752
16094,1-64973
16095,1-300599
16096,1-628721
16097,1-369948
16098,1-263944
16099,1-275781
16100,1-422841
16101,1-306996
16102,1-95208
16103,1-381900
16104,1-69252
16105,1-31500
16106,1-359533
16107,1-125969
16108,1-396820
16109,1-104798
16110,1-565294
16111,1-42199
16112,1-294939
16113,1-523206
16114,1-70182
16115,1-278632
16116,1-606004
16117,1-222014
16118,1-638666
16119,1-77060
16120,1-300739
16121,1-312549
16122,1-484853
16123,1-137189
16124,1-387633
16125,1-254809
16126,1-230670
16127,1-101540
16128,1-238986
16129,1-75052
16130,1-180047
16131,1-210365
16132,1-274658
16133,1-420946
16134,1-38348
16135,1-351353
16136,1-103370
16137,1-268437
16138,1-84081
16139,1-368248
16140,1-297192
16141,1-353943
16142,1-56314
16143,1-448762
16144,1-585026
16145,1-276032
16146,1-174951
16147,1-30331
16148,1-594197
16149,1-323860
16150,1-268267
16151,1-478426
16152,1-16241
16153,1-634119
16154,1-166196
16155,1-295474
16156,1-386851
16157,1-494341
16158,1-214658
16159,1-151824
16160,1-380247
16161,1-504987
16162,1-146344
16163,1-437767
16164,1-96434
16165,1-196372
16166,1-549159
16167,1-183603
16168,1-360225
16169,1-64242
16170,1-491200
16171,1-593749
16172,1-169244
16173,1-482622
16174,1-338770
16175,1-323766
16176,1-209887
16177,1-495026
16178,1-494713
16179,1-170388
16180,1-548378
16181,1-165775
16182,1-144359
16183,1-493074
16184,1-166862
16185,1-420291
16186,1-82748
16187,1-121911
16188,1-492399
16189,1-469483
16190,1-108331
16191,1-485971
16192,1-465603
16193,1-317783
16194,1-299973
16195,1-278868
16196,1-146408
16197,1-102834
16198,1-574984
16199,1-458692
16200,1-323678
16201,1-128797
16202,1-453800
16203,1-458678
16204,1-590948
16205,1-638773
16206,1-157674
16207,1-381533
16208,1-451490
16209,1-280608
16210,1-413061
16211,1-148581
16212,1-81130
16213,1-423791
16214,1-82644
16215,1-470184
16216,1-65370
16217,1-33184
16218,1-37546
16219,1-143402
16220,1-359782
16221,1-167089
16222,1-500290
16223,1-528022
16224,1-337159
16225,1-539658
16226,1-568427
16227,1-248848
16228,1-273633
16229,1-456923
16230,1-238927
16231,1-103295
16232,1-36732
16233,1-588624
16234,1-628946
16235,1-413732
16236,1-640982
16237,1-321784
16238,1-370522
16239,1-378168
16240,1-128962
16241,1-229660
16242,1-345391
16243,1-62557
16244,1-499878
16245,1-496114
16246,1-279956
16247,1-295887
16248,1-271613
16249,1-364555
16250,1-456389
16251,1-527807
16252,1-62616
16253,1-176142
16254,1-68313
16255,1-481031
16256,1-453825
16257,1-163406
16258,1-33453
16259,1-415391
16260,1-464121
16261,1-632035
16262,1-294866
16263,1-498909
16264,1-503220
16265,1-209474
16266,1-35691
16267,1-593448
16268,1-29949
16269,1-61980
16270,1-164148
16271,1-281498
16272,1-167519
16273,1-116459
16274,1-361375
16275,1-576292
16276,1-444227
16277,1-315206
16278,1-388011
16279,1-322045
16280,1-277443
16281,1-423075
16282,1-333498
16283,1-622202
16284,1-137181
16285,1-50956
16286,1-410694
16287,1-350771
16288,1-142876
16289,1-78336
16290,1-533172
16291,1-556677
16292,1-350753
16293,1-629619
16294,1-509254
16295,1-424096
16296,1-22259
16297,1-593604
16298,1-63728
16299,1-444314
16300,1-494722
16301,1-200510
16302,1-258777
16303,1-60070
16304,1-527634
16305,1-72913
16306,1-300598
16307,1-85958
16308,1-376486
16309,1-371314
16310,1-394007
16311,1-606620
16312,1-487383
16313,1-404580
16314,1-319477
16315,1-57385
16316,1-455954
16317,1-208985
16318,1-135285
16319,1-195344
16320,1-188803
16321,1-51296
16322,1-33505
16323,1-265769
16324,1-31776
16325,1-631923
16326,1-175323
16327,1-639021
16328,1-45593
16329,1-270181
16330,1-242022
16331,1-189081
16332,1-160922
16333,1-588921
16334,1-372028
16335,1-334141
16336,1-483639
16337,1-246599
16338,1-25178
16339,1-360716
16340,1-513837
16341,1-540088
16342,1-81270
16343,1-278603
16344,1-224645
16345,1-440729
16346,1-414029
16347,1-525536
16348,1-440663
16349,1-117978
16350,1-200351
16351,1-30745
16352,1-421963
16353,1-280806
16354,1-286536
16355,1-228895
16356,1-470711
16357,1-412212
16358,1-28118
16359,1-294260
16360,1-508673
16361,1-16108
16362,1-140681
16363,1-118478
16364,1-353515
16365,1-601866
16366,1-234115
16367,1-131570
16368,1-284291
16369,1-48097
16370,1-303690
16371,1-3306
16372,1-286805
16373,1-397739
16374,1-413695
16375,1-469393
16376,1-549412
16377,1-146171
16378,1-611539
16379,1-387820
16380,1-301225
16381,1-5610
16382,1-465299
16383,1-481197
16384,1-30958
16385,1-365234
16386,1-327676
16387,1-443895
16388,1-32552
16389,1-318434
16390,1-428376
16391,1-54979
16392,1-448620
16393,1-318024
16394,1-496469
16395,1-3164
16396,1-94451
16397,1-241438
16398,1-455633
16399,1-29610
16400,1-471716
16401,1-200987
16402,1-437128
16403,1-484236
16404,1-458047
16405,1-633308
16406,1-310196
16407,1-210785
16408,1-15315
16409,1-39880
16410,1-535859
16411,1-41413
16412,1-574504
16413,1-128555
16414,1-329274
16415,1-147394
16416,1-94748
16417,1-459135
16418,1-556679
16419,1-429427
16420,1-284183
16421,1-403847
16422,1-188033
16423,1-84504
16424,1-186582
16425,1-385272
16426,1-250870
16427,1-469436
16428,1-260733
16429,1-338796
16430,1-358588
16431,1-28155
16432,1-19212
16433,1-101359
16434,1-211756
16435,1-303623
16436,1-569059
16437,1-380152
16438,1-96680
16439,1-570537
16440,1-538799
16441,1-350389
16442,1-142560
16443,1-53
16444,1-182779
16445,1-164858
16446,1-569263
16447,1-10460
16448,1-315062
16449,1-558367
16450,1-154925
16451,1-213651
16452,1-11600
16453,1-591497
16454,1-476177
16455,1-111452
16456,1-304771
16457,1-42390
16458,1-257654
16459,1-574597
16460,1-170987
16461,1-433209
16462,1-6413
16463,1-79052
16464,1-166703
16465,1-65216
16466,1-358692
16467,1-171276
16468,1-41746
16469,1-198887
16470,1-168749
16471,1-568763
16472,1-565314
16473,1-127013
16474,1-302008
16475,1-179297
16476,1-281439
16477,1-186263
16478,1-469139
16479,1-613491
16480,1-70384
16481,1-384507
16482,1-593553
16483,1-492861
16484,1-620583
16485,1-358170
16486,1-229879
16487,1-209926
16488,1-381096
16489,1-586923
16490,1-448415
16491,1-404155
16492,1-220581
16493,1-260355
16494,1-207136
16495,1-530373
16496,1-584831
16497,1-576093
16498,1-16659
16499,1-560546
16500,1-491700
16501,1-604984
16502,1-250644
16503,1-74904
16504,1-631850
16505,1-276544
16506,1-399804
16507,1-504030
16508,1-545973
16509,1-38041
16510,1-54632
16511,1-51128
16512,1-148547
16513,1-604912
16514,1-591991
16515,1-576479
16516,1-200927
16517,1-379202
16518,1-558442
16519,1-532262
16520,1-512390
16521,1-468846
16522,1-441515
16523,1-215300
16524,1-590095
16525,1-57210
16526,1-419049
16527,1-282506
16528,1-517394
16529,1-228026
16530,1-404279
16531,1-182899
16532,1-47397
16533,1-540940
16534,1-638579
16535,1-88573
16536,1-40793
16537,1-400928
16538,1-241504
16539,1-11594
16540,1-207796
16541,1-24407
16542,1-547842
16543,1-124935
16544,1-537663
16545,1-564644
16546,1-230497
16547,1-404191
16548,1-98239
16549,1-625276
16550,1-641253
16551,1-410198
16552,1-135773
16553,1-417289
16554,1-341655
16555,1-633370
16556,1-188303
16557,1-358828
16558,1-72070
16559,1-526259
16560,1-82541
16561,1-232536
16562,1-35870
16563,1-336174
16564,1-591902
16565,1-40883
16566,1-135875
16567,1-51118
16568,1-42202
16569,1-162208
16570,1-396502
16571,1-378039
16572,1-454736
16573,1-96151
16574,1-608154
16575,1-456600
16576,1-143427
16577,1-524228
16578,1-452430
16579,1-559260
16580,1-574699
16581,1-580933
16582,1-403634
16583,1-155224
16584,1-531235
16585,1-307324
16586,1-172199
16587,1-152936
16588,1-148781
16589,1-54784
16590,1-634208
16591,1-148479
16592,1-160484
16593,1-29120
16594,1-506139
16595,1-470236
16596,1-280557
16597,1-417747
16598,1-223394
16599,1-94958
16600,1-610312
16601,1-387136
16602,1-44880
16603,1-442359
16604,1-559566
16605,1-165839
16606,1-586679
16607,1-332537
16608,1-361249
16609,1-194947
16610,1-456980
16611,1-618880
16612,1-308902
16613,1-104035
16614,1-566364
16615,1-165740
16616,1-456884
16617,1-412442
16618,1-379660
16619,1-129330
16620,1-461086
16621,1-387961
16622,1-444884
16623,1-490500
16624,1-225767
16625,1-464369
16626,1-222650
16627,1-363426
16628,1-143438
16629,1-585398
16630,1-51622
16631,1-60689
16632,1-440187
16633,1-388775
16634,1-327840
16635,1-228760
16636,1-493481
16637,1-210710
16638,1-601961
16639,1-623710
16640,1-261050
16641,1-525124
16642,1-524090
16643,1-53662
16644,1-327468
16645,1-265375
16646,1-150578
16647,1-141568
16648,1-135549
16649,1-626680
16650,1-626139
16651,1-454365
16652,1-245088
16653,1-449484
16654,1-104829
16655,1-527513
16656,1-239893
16657,1-415476
16658,1-267994
16659,1-5793
16660,1-188522
16661,1-421345
16662,1-99247
16663,1-548199
16664,1-1335
16665,1-43717
16666,1-454106
16667,1-342037
16668,1-494516
16669,1-313053
16670,1-356385
16671,1-532384
16672,1-238789
16673,1-468272
16674,1-535814
16675,1-548998
16676,1-373161
16677,1-332390
16678,1-282381
16679,1-384095
16680,1-458728
16681,1-312718
16682,1-584678
16683,1-72806
16684,1-81098
16685,1-199535
16686,1-623722
16687,1-137197
16688,1-496991
16689,1-591128
16690,1-153958
16691,1-227721
16692,1-335328
16693,1-491964
16694,1-464708
16695,1-232615
16696,1-154273
16697,1-71956
16698,1-620175
16699,1-102874
16700,1-270107
16701,1-638257
16702,1-281660
16703,1-218009
16704,1-461206
16705,1-232079
16706,1-591909
16707,1-216520
16708,1-195405
16709,1-57367
16710,1-605093
16711,1-412627
16712,1-276590
16713,1-4130
16714,1-228258
16715,1-115205
16716,1-135516
16717,1-311551
16718,1-117458
16719,1-14152
16720,1-497370
16721,1-118204
16722,1-375678
16723,1-457162
16724,1-465150
16725,1-80535
16726,1-405760
16727,1-137695
16728,1-469109
16729,1-241991
16730,1-42255
16731,1-13942
16732,1-164007
16733,1-387019
16734,1-534851
16735,1-168351
16736,1-520889
16737,1-435396
16738,1-488746
16739,1-549508
16740,1-637102
16741,1-592169
16742,1-7969
16743,1-504090
16744,1-81059
16745,1-202377
16746,1-404257
16747,1-547738
16748,1-101347
16749,1-516081
16750,1-238589
16751,1-166226
16752,1-279002
16753,1-419232
16754,1-599562
16755,1-585306
16756,1-401637
16757,1-429547
16758,1-91317
16759,1-412851
16760,1-171848
16761,1-100504
16762,1-123516
16763,1-217221
16764,1-373038
16765,1-176882
16766,1-329227
16767,1-254177
16768,1-638737
16769,1-155640
16770,1-38617
16771,1-385342
16772,1-397993
16773,1-310016
16774,1-494633
16775,1-42803
16776,1-209199
16777,1-384265
16778,1-576854
16779,1-348312
16780,1-16617
16781,1-470856
16782,1-438889
16783,1-364466
16784,1-82645
16785,1-544356
16786,1-566428
16787,1-416841
16788,1-227412
16789,1-48201
16790,1-520069
16791,1-321377
16792,1-29728
16793,1-548939
16794,1-81398
16795,1-281404
16796,1-129447
16797,1-497946
16798,1-490046
16799,1-391258
16800,1-425787
16801,1-493964
16802,1-332549
16803,1-515765
16804,1-224447
16805,1-495597
16806,1-425271
16807,1-300562
16808,1-305162
16809,1-300672
16810,1-180135
16811,1-150173
16812,1-441977
16813,1-3498
16814,1-559242
16815,1-481831
16816,1-189994
16817,1-530670
16818,1-419172
16819,1-61707
16820,1-580569
16821,1-633196
16822,1-219022
16823,1-614900
16824,1-110159
16825,1-130080
16826,1-565571
16827,1-498755
16828,1-464367
16829,1-459140
16830,1-333290
16831,1-380354
16832,1-67421
16833,1-259756
16834,1-450757
16835,1-285004
16836,1-122088
16837,1-494912
16838,1-189960
16839,1-137573
16840,1-143682
16841,1-321409
16842,1-532512
16843,1-472811
16844,1-276899
16845,1-624911
16846,1-609230
16847,1-430089
16848,1-184255
16849,1-306706
16850,1-529072
16851,1-42280
16852,1-464210
16853,1-316773
16854,1-78451
16855,1-178442
16856,1-258455
16857,1-274038
16858,1-159036
16859,1-101852
16860,1-487288
16861,1-593472
16862,1-385365
16863,1-475469
16864,1-485263
16865,1-353198
16866,1-256190
16867,1-629271
16868,1-591418
16869,1-502695
16870,1-240417
16871,1-627085
16872,1-504354
16873,1-630534
16874,1-475228
16875,1-298693
16876,1-633458
16877,1-38272
16878,1-589816
16879,1-441952
16880,1-325495
16881,1-146265
16882,1-534514
16883,1-29029
16884,1-284410
16885,1-405321
16886,1-479488
16887,1-178844
16888,1-569098
16889,1-523203
16890,1-507017
16891,1-50888
16892,1-3567
16893,1-361475
16894,1-626822
16895,1-152828
16896,1-351596
16897,1-630141
16898,1-465293
16899,1-539511
16900,1-4242
16901,1-79268
16902,1-432586
16903,1-490333
16904,1-404168
16905,1-424488
16906,1-139162
16907,1-235988
16908,1-483971
16909,1-432913
16910,1-208040
16911,1-156682
16912,1-480878
16913,1-593209
16914,1-227375
16915,1-376341
16916,1-203407
16917,1-476638
16918,1-369594
16919,1-561337
16920,1-447485
16921,1-358955
16922,1-155978
16923,1-433403
16924,1-74169
16925,1-239891
16926,1-418795
16927,1-465809
16928,1-456645
16929,1-623383
16930,1-253801
16931,1-73824
16932,1-366533
16933,1-532509
16934,1-28423
16935,1-527753
16936,1-208736
16937,1-592019
16938,1-165759
16939,1-117856
16940,1-528233
16941,1-359568
16942,1-589705
16943,1-497390
16944,1-478257
16945,1-437141
16946,1-69247
16947,1-457168
16948,1-565508
16949,1-88080
16950,1-135091
16951,1-516952
16952,1-29319
16953,1-487272
16954,1-525491
16955,1-400091
16956,1-424489
16957,1-400684
16958,1-516117
16959,1-57612
16960,1-125050
16961,1-260823
16962,1-412471
16963,1-239253
16964,1-514129
16965,1-384486
16966,1-371859
16967,1-602767
16968,1-368223
16969,1-257748
16970,1-488687
16971,1-108172
16972,1-435949
16973,1-120829
16974,1-389513
16975,1-148302
16976,1-399801
16977,1-248544
16978,1-631594
16979,1-356558
16980,1-606144
16981,1-135772
16982,1-491240
16983,1-404246
16984,1-379348
16985,1-528131
16986,1-135042
16987,1-61630
16988,1-430343
16989,1-36359
16990,1-484764
16991,1-47765
16992,1-26031
16993,1-159265
16994,1-18973
16995,1-370792
16996,1-475950
16997,1-166082
16998,1-512355
16999,1-99647
17000,1-560174
17001,1-247975
17002,1-567666
17003,1-494852
17004,1-452790
17005,1-150898
17006,1-64184
17007,1-314424
17008,1-527622
17009,1-299176
17010,1-510056
17011,1-508571
17012,1-44690
17013,1-357482
17014,1-401759
17015,1-140131
17016,1-130312
17017,1-414537
17018,1-96410
17019,1-405576
17020,1-432232
17021,1-585375
17022,1-391818
17023,1-627142
17024,1-171097
17025,1-605372
17026,1-399537
17027,1-511888
17028,1-19664
17029,1-63172
17030,1-89840
17031,1-565839
17032,1-376355
17033,1-37208
17034,1-148994
17035,1-129460
17036,1-223047
17037,1-254552
17038,1-372204
17039,1-264715
17040,1-144645
17041,1-494103
17042,1-339448
17043,1-135055
17044,1-210972
17045,1-277475
17046,1-126428
17047,1-170475
17048,1-12485
17049,1-513248
17050,1-630019
17051,1-235307
17052,1-46786
17053,1-135058
17054,1-455924
17055,1-492998
17056,1-131279
17057,1-379897
17058,1-239569
17059,1-173016
17060,1-360144
17061,1-585590
17062,1-200463
17063,1-512285
17064,1-558606
17065,1-112576
17066,1-286909
17067,1-248661
17068,1-183845
17069,1-136027
17070,1-519896
17071,1-372180
17072,1-350388
17073,1-123452
17074,1-109564
17075,1-386961
17076,1-67369
17077,1-233792
17078,1-75162
17079,1-231242
17080,1-90986
17081,1-133953
17082,1-242504
17083,1-339300
17084,1-103758
17085,1-57430
17086,1-512706
17087,1-45704
17088,1-576301
17089,1-394718
17090,1-131588
17091,1-364088
17092,1-340610
17093,1-174036
17094,1-170094
17095,1-494763
17096,1-448098
17097,1-468158
17098,1-633856
17099,1-440696
17100,1-443409
17101,1-594091
17102,1-273987
17103,1-452726
17104,1-447481
17105,1-351751
17106,1-85671
17107,1-334989
17108,1-560436
17109,1-40410
17110,1-441431
17111,1-317471
17112,1-421925
17113,1-564774
17114,1-496253
17115,1-100017
17116,1-457813
17117,1-378500
17118,1-491379
17119,1-610361
17120,1-258849
17121,1-633839
17122,1-444667
17123,1-71987
17124,1-143046
17125,1-455267
17126,1-618173
17127,1-464724
17128,1-219555
17129,1-445226
17130,1-462876
17131,1-466297
17132,1-336690
17133,1-199449
17134,1-216358
17135,1-455252
17136,1-146283
17137,1-298228
17138,1-429817
17139,1-391765
17140,1-606047
17141,1-364321
17142,1-164562
17143,1-156371
17144,1-87152
17145,1-534153
17146,1-358522
17147,1-338829
17148,1-560743
17149,1-590671
17150,1-186242
17151,1-503914
17152,1-631812
17153,1-387068
17154,1-618686
17155,1-605611
17156,1-519500
17157,1-360655
17158,1-362097
17159,1-42717
17160,1-399808
17161,1-32034
17162,1-313673
17163,1-529767
17164,1-494122
17165,1-157762
17166,1-352347
17167,1-625822
17168,1-198159
17169,1-270550
17170,1-360583
17171,1-210728
17172,1-239435
17173,1-494918
17174,1-381947
17175,1-424564
17176,1-440292
17177,1-448294
17178,1-379291
17179,1-47432
17180,1-559753
17181,1-196714
17182,1-239575
17183,1-222186
17184,1-241066
17185,1-241197
17186,1-444425
17187,1-443812
17188,1-196234
17189,1-125945
17190,1-633383
17191,1-248415
17192,1-36442
17193,1-545472
17194,1-494161
17195,1-333170
17196,1-465273
17197,1-593342
17198,1-445487
17199,1-235861
17200,1-564344
17201,1-399538
17202,1-264375
17203,1-424502
17204,1-252046
17205,1-497937
17206,1-359048
17207,1-379209
17208,1-153846
17209,1-373784
17210,1-370113
17211,1-310251
17212,1-493285
17213,1-625175
17214,1-36849
17215,1-458604
17216,1-395622
17217,1-275555
17218,1-463478
17219,1-286406
17220,1-397643
17221,1-613389
17222,1-164153
17223,1-295059
17224,1-23944
17225,1-120100
17226,1-357354
17227,1-397968
17228,1-181988
17229,1-451857
17230,1-82525
17231,1-187034
17232,1-140180
17233,1-549183
17234,1-417823
17235,1-624320
17236,1-638766
17237,1-82238
17238,1-301438
17239,1-303014
17240,1-520346
17241,1-151414
17242,1-514389
17243,1-89397
17244,1-468421
17245,1-308488
17246,1-448706
17247,1-35816
17248,1-262173
17249,1-200154
17250,1-500706
17251,1-314159
17252,1-494840
17253,1-430660
17254,1-491047
17255,1-154642
17256,1-265272
17257,1-355832
17258,1-301552
17259,1-443357
17260,1-246535
17261,1-125750
17262,1-344083
17263,1-257560
17264,1-218835
17265,1-452384
17266,1-81123
17267,1-432088
17268,1-620187
17269,1-238398
17270,1-299084
17271,1-332780
17272,1-492417
17273,1-440890
17274,1-150604
17275,1-157199
17276,1-379966
17277,1-391154
17278,1-491075
17279,1-502937
17280,1-162325
17281,1-150387
17282,1-106103
17283,1-247727
17284,1-443299
17285,1-182588
17286,1-259452
17287,1-566256
17288,1-142672
17289,1-420847
17290,1-341675
17291,1-484647
17292,1-457054
17293,1-327552
17294,1-367581
17295,1-455156
17296,1-267625
17297,1-593985
17298,1-334736
17299,1-448745
17300,1-151128
17301,1-68253
17302,1-117289
17303,1-78923
17304,1-235587
17305,1-266932
17306,1-278057
17307,1-148780
17308,1-378660
17309,1-139084
17310,1-512412
17311,1-340100
17312,1-364584
17313,1-469151
17314,1-176554
17315,1-195671
17316,1-308283
17317,1-589233
17318,1-447203
17319,1-443863
17320,1-265589
17321,1-526385
17322,1-232881
17323,1-442338
17324,1-456746
17325,1-397651
17326,1-33705
17327,1-57307
17328,1-548285
17329,1-585722
17330,1-312756
17331,1-424840
17332,1-89773
17333,1-455800
17334,1-214335
17335,1-29692
17336,1-210448
17337,1-624292
17338,1-117697
17339,1-231865
17340,1-613411
17341,1-458270
17342,1-195108
17343,1-413726
17344,1-301470
17345,1-383025
17346,1-357399
17347,1-105013
17348,1-219453
17349,1-294795
17350,1-486123
17351,1-81226
17352,1-531967
17353,1-44767
17354,1-89519
17355,1-139432
17356,1-443931
17357,1-608898
17358,1-377686
17359,1-443541
17360,1-231879
17361,1-428470
17362,1-118282
17363,1-489642
17364,1-455861
17365,1-144000
17366,1-232171
17367,1-350103
17368,1-324635
17369,1-269055
17370,1-482011
17371,1-166582
17372,1-456846
17373,1-548191
17374,1-142763
17375,1-329830
17376,1-353297
17377,1-363655
17378,1-513573
17379,1-157690
17380,1-124964
17381,1-3828
17382,1-5687
17383,1-271002
17384,1-592480
17385,1-77006
17386,1-425372
17387,1-84866
17388,1-560585
17389,1-494824
17390,1-170925
17391,1-520081
17392,1-387724
17393,1-35747
17394,1-145679
17395,1-463425
17396,1-429886
17397,1-294999
17398,1-233250
17399,1-448184
17400,1-312776
17401,1-283825
17402,1-568549
17403,1-377221
17404,1-533810
17405,1-30095
17406,1-135626
17407,1-200763
17408,1-339967
17409,1-448630
17410,1-627945
17411,1-351177
17412,1-186473
17413,1-446290
17414,1-631567
17415,1-91250
17416,1-480693
17417,1-333766
17418,1-133922
17419,1-419863
17420,1-138215
17421,1-455154
17422,1-625212
17423,1-484098
17424,1-167403
17425,1-97067
17426,1-127551
17427,1-52357
17428,1-14522
17429,1-621795
17430,1-244660
17431,1-613506
17432,1-35897
17433,1-6283
17434,1-635712
17435,1-342425
17436,1-36968
17437,1-406080
17438,1-85897
17439,1-46679
17440,1-503654
17441,1-388402
17442,1-528854
17443,1-82351
17444,1-124619
17445,1-382848
17446,1-464149
17447,1-422897
17448,1-200692
17449,1-294016
17450,1-50835
17451,1-443772
17452,1-163963
17453,1-47014
17454,1-404180
17455,1-371929
17456,1-330523
17457,1-494927
17458,1-505406
17459,1-219988
17460,1-533994
17461,1-531193
17462,1-63963
17463,1-303965
17464,1-564346
17465,1-16004
17466,1-93231
17467,1-628871
17468,1-390631
17469,1-406908
17470,1-453735
17471,1-543986
17472,1-244629
17473,1-74675
17474,1-85928
17475,1-520492
17476,1-263650
17477,1-302605
17478,1-167971
17479,1-457176
17480,1-568894
17481,1-404184
17482,1-219407
17483,1-421331
17484,1-218102
17485,1-30578
17486,1-321655
17487,1-605738
17488,1-118184
17489,1-68913
17490,1-24798
17491,1-162064
17492,1-107935
17493,1-566045
17494,1-281863
17495,1-17679
17496,1-516515
17497,1-209511
17498,1-633719
17499,1-516678
17500,1-404130
17501,1-83520
17502,1-50828
17503,1-435016
17504,1-403207
17505,1-478529
17506,1-47875
17507,1-392978
17508,1-64250
17509,1-6113
17510,1-484088
17511,1-197406
17512,1-560601
17513,1-178557
17514,1-121622
17515,1-317226
17516,1-449005
17517,1-497602
17518,1-591580
17519,1-477982
17520,1-633175
17521,1-403470
17522,1-448199
17523,1-637978
17524,1-11977
17525,1-482957
17526,1-585221
17527,1-456530
17528,1-504273
17529,1-131378
17530,1-238409
17531,1-423606
17532,1-587894
17533,1-360919
17534,1-259050
17535,1-505218
17536,1-466196
17537,1-151200
17538,1-475903
17539,1-524526
17540,1-549537
17541,1-131936
17542,1-44210
17543,1-424996
17544,1-140331
17545,1-323
17546,1-3635
17547,1-137243
17548,1-245908
17549,1-521915
17550,1-385623
17551,1-54497
17552,1-588816
17553,1-440085
17554,1-494387
17555,1-137513
17556,1-619055
17557,1-4923
17558,1-388003
17559,1-149650
17560,1-366265
17561,1-173143
17562,1-247501
17563,1-320912
17564,1-493307
17565,1-297902
17566,1-551328
17567,1-465069
17568,1-395664
17569,1-454140
17570,1-542762
17571,1-118444
17572,1-37167
17573,1-442983
17574,1-549237
17575,1-221552
17576,1-201449
17577,1-390529
17578,1-226935
17579,1-564219
17580,1-348327
17581,1-28025
17582,1-84582
17583,1-623569
17584,1-217733
17585,1-529152
17586,1-565233
17587,1-471965
17588,1-567253
17589,1-305237
17590,1-343829
17591,1-195343
17592,1-33884
17593,1-606806
17594,1-378148
17595,1-336801
17596,1-454363
17597,1-544117
17598,1-93233
17599,1-201470
17600,1-370041
17601,1-382711
17602,1-45179
17603,1-482687
17604,1-447483
17605,1-455834
17606,1-148756
17607,1-304714
17608,1-493354
17609,1-39078
17610,1-103175
17611,1-605305
17612,1-545048
17613,1-69640
17614,1-232151
17615,1-228563
17616,1-92045
17617,1-72402
17618,1-369442
17619,1-528037
17620,1-13902
17621,1-165157
17622,1-535856
17623,1-342219
17624,1-551421
17625,1-209337
17626,1-233074
17627,1-380049
17628,1-106520
17629,1-33640
17630,1-208472
17631,1-400885
17632,1-454331
17633,1-428329
17634,1-480548
17635,1-13185
17636,1-277965
17637,1-574506
17638,1-302340
17639,1-332313
17640,1-365576
17641,1-605554
17642,1-218695
17643,1-66802
17644,1-458567
17645,1-282598
17646,1-187265
17647,1-342664
17648,1-378795
17649,1-155663
17650,1-318255
17651,1-414250
17652,1-498960
17653,1-36905
17654,1-343165
17655,1-10134
17656,1-357053
17657,1-279666
17658,1-163326
17659,1-565569
17660,1-142670
17661,1-262668
17662,1-239577
17663,1-165297
17664,1-543043
17665,1-325672
17666,1-142691
17667,1-506568
17668,1-607026
17669,1-450486
17670,1-404264
17671,1-233925
17672,1-178782
17673,1-184645
17674,1-296174
17675,1-459894
17676,1-488922
17677,1-498931
17678,1-236484
17679,1-223125
17680,1-478427
17681,1-168299
17682,1-396654
17683,1-38347
17684,1-260937
17685,1-150846
17686,1-420779
17687,1-370004
17688,1-48437
17689,1-592154
17690,1-432686
17691,1-255840
17692,1-447682
17693,1-517653
17694,1-330552
17695,1-177580
17696,1-536549
17697,1-68171
17698,1-540883
17699,1-535593
17700,1-351403
17701,1-465674
17702,1-223369
17703,1-265378
