,TN U-Net,FP U-Net,FN U-Net,TP U-Net,TN Sky,FP Sky,FN Sky,TP Sky
288,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
289,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
290,16379.0,0.0,5.0,0.0,16379.0,0.0,5.0,0.0
291,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
292,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
293,15258.0,197.0,373.0,556.0,15455.0,0.0,929.0,0.0
294,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
295,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
296,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
297,16344.0,40.0,0.0,0.0,16384.0,0.0,0.0,0.0
298,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
299,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
300,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
301,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
302,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
303,16159.0,0.0,225.0,0.0,16159.0,0.0,225.0,0.0
304,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
305,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
306,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
307,15514.0,144.0,543.0,183.0,15658.0,0.0,726.0,0.0
308,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
309,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
310,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
311,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
312,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
313,15973.0,411.0,0.0,0.0,16384.0,0.0,0.0,0.0
314,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
315,13544.0,1185.0,605.0,1050.0,14729.0,0.0,1655.0,0.0
316,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
317,13320.0,683.0,336.0,2045.0,14003.0,0.0,2381.0,0.0
318,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
319,15193.0,182.0,979.0,30.0,15375.0,0.0,1009.0,0.0
320,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
321,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
322,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
323,16369.0,15.0,0.0,0.0,16384.0,0.0,0.0,0.0
324,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
325,15017.0,454.0,341.0,572.0,15471.0,0.0,913.0,0.0
326,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
327,14599.0,399.0,1147.0,239.0,14998.0,0.0,1386.0,0.0
328,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
329,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
330,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
331,13765.0,138.0,1372.0,1109.0,13903.0,0.0,2481.0,0.0
332,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
333,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
334,15982.0,22.0,197.0,183.0,16004.0,0.0,380.0,0.0
335,16336.0,0.0,48.0,0.0,16336.0,0.0,48.0,0.0
336,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
337,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
338,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
339,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
340,15799.0,585.0,0.0,0.0,16384.0,0.0,0.0,0.0
341,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
342,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
343,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
344,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
345,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
346,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
347,14523.0,457.0,473.0,931.0,14980.0,0.0,1404.0,0.0
348,15523.0,738.0,8.0,115.0,16261.0,0.0,123.0,0.0
349,16350.0,34.0,0.0,0.0,16384.0,0.0,0.0,0.0
350,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
351,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
352,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
353,16275.0,0.0,109.0,0.0,16275.0,0.0,109.0,0.0
354,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
355,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
356,15046.0,226.0,637.0,475.0,15272.0,0.0,1112.0,0.0
357,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
358,14457.0,198.0,834.0,895.0,14655.0,0.0,1729.0,0.0
359,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
360,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
361,16344.0,40.0,0.0,0.0,16384.0,0.0,0.0,0.0
362,13632.0,74.0,1431.0,1247.0,13706.0,0.0,2678.0,0.0
363,15843.0,1.0,519.0,21.0,15844.0,0.0,540.0,0.0
364,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
365,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
366,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
367,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
368,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
369,15792.0,81.0,289.0,222.0,15873.0,0.0,511.0,0.0
370,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
371,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
372,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
373,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
374,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
375,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
376,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
377,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
378,15129.0,1242.0,13.0,0.0,16371.0,0.0,13.0,0.0
379,15682.0,19.0,594.0,89.0,15701.0,0.0,683.0,0.0
380,15610.0,0.0,705.0,69.0,15610.0,0.0,774.0,0.0
381,10538.0,67.0,3533.0,2246.0,10605.0,0.0,5779.0,0.0
