1-330653,2439,15182,1202,0,0,16221,163,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-612695,2338,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-443436,686,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-456921,1258,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-542312,2691,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-22601,1295,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-567663,1032,16216,168,0,0,16365,19,0,0,16281,103,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-109836,1450,14393,0,1738,253,15116,0,1266,2,15772,0,612,0,16298,0,86,0,16384,0,0,0,16384,0,0,0,14393,0,1991,0,15116,0,1268,0,15772,0,612,0,16298,0,86,0,16384,0,0,0,16384,0,0,0
1-633155,2908,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-432161,1045,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-494298,1026,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-43022,997,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-400166,1914,15336,164,81,803,15829,36,295,224,16085,11,180,108,16291,0,93,0,16324,0,60,0,16379,0,5,0,15500,0,884,0,15865,0,519,0,16096,0,288,0,16291,0,93,0,16324,0,60,0,16379,0,5,0
1-276920,1097,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-539394,1728,15449,935,0,0,16313,71,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-278015,1280,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-524040,2654,11111,0,2241,3032,12275,8,3578,523,13484,0,2535,365,14537,0,1847,0,14901,392,503,588,15979,0,405,0,11111,0,5273,0,12283,0,4101,0,13484,0,2900,0,14537,0,1847,0,15293,0,1091,0,15979,0,405,0
1-558356,2062,14498,212,510,1164,15355,80,752,197,15752,0,559,73,16145,0,239,0,16257,0,127,0,16360,0,24,0,14710,0,1674,0,15435,0,949,0,15752,0,632,0,16145,0,239,0,16257,0,127,0,16360,0,24,0
1-434170,634,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-368974,2882,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-602927,3580,12423,470,1353,2138,14581,316,945,542,15672,225,156,331,16178,0,206,0,16306,0,78,0,16342,0,42,0,12893,0,3491,0,14897,0,1487,0,15897,0,487,0,16178,0,206,0,16306,0,78,0,16342,0,42,0
1-15994,1102,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-498320,571,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-103547,1522,15683,0,701,0,16358,0,26,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,15683,0,701,0,16358,0,26,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-201685,752,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-624448,3157,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-635590,3034,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-224833,2147,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-332409,1092,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-444774,350,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-370350,966,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-30012,2626,13572,349,1832,631,15177,232,893,82,16013,191,175,5,16330,52,2,0,16384,0,0,0,16384,0,0,0,13921,0,2463,0,15409,0,975,0,16204,0,180,0,16382,0,2,0,16384,0,0,0,16384,0,0,0
1-36285,423,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-613393,6363,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-576751,2551,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0,16384,0,0,0
1-226983,3973,12272,20,2763,1329,14383,0,1973,28,15210,0,1174,0,15808,0,576,0,16031,0,353,0,16290,0,94,0,12292,0,4092,0,14383,0,2001,0,15210,0,1174,0,15808,0,576,0,16031,0,353,0,16290,0,94,0
